"idInvoice","creationDate","idCustomer","idSeller","lastDate"
187244,"2020-11-26 07:56:43.0000000",1785,5618,"2021-12-05 21:18:40.0000000"
187245,"2020-12-04 08:56:30.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187246,"2020-12-06 11:41:59.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187247,"2020-12-08 21:28:19.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187248,"2020-12-10 05:13:42.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187249,"2020-12-16 16:29:47.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187250,"2020-12-22 20:59:12.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187251,"2020-12-26 12:50:33.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187252,"2020-12-28 15:29:48.0000000",1785,5618,"2021-12-05 21:18:40.0000000"
187253,"2021-01-03 00:04:05.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187254,"2021-01-09 13:58:41.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187255,"2021-01-11 09:22:39.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187256,"2021-01-15 03:58:34.0000000",1785,5618,"2021-12-05 21:18:40.0000000"
187257,"2021-01-21 23:56:11.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187258,"2021-01-27 10:55:03.0000000",1785,5618,"2021-12-05 21:18:40.0000000"
187259,"2021-02-01 06:50:50.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187260,"2021-02-05 12:22:26.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187261,"2021-02-06 12:58:03.0000000",1785,5611,"2021-12-05 21:18:40.0000000"
187262,"2021-01-05 23:47:55.0000000",1805,5611,"2021-12-05 21:18:40.0000000"
187263,"2021-01-09 15:11:39.0000000",1805,5611,"2021-12-05 21:18:40.0000000"
187264,"2021-01-20 16:04:54.0000000",1805,5611,"2021-12-05 21:18:40.0000000"
187265,"2021-01-23 03:58:42.0000000",1805,5611,"2021-12-05 21:18:40.0000000"
187266,"2021-01-29 21:59:20.0000000",1805,5611,"2021-12-05 21:18:40.0000000"
187267,"2021-01-31 00:38:24.0000000",1805,5611,"2021-12-05 21:18:40.0000000"
187268,"2021-02-08 22:19:41.0000000",1805,5611,"2021-12-05 21:18:40.0000000"
187269,"2021-02-15 10:26:17.0000000",1805,5611,"2021-12-05 21:18:40.0000000"
187270,"2021-02-21 14:07:57.0000000",1805,5618,"2021-12-05 21:18:40.0000000"
187271,"2021-02-28 15:10:33.0000000",1805,5611,"2021-12-05 21:18:40.0000000"
187272,"2012-11-16 04:01:19.0000000",1727,5611,"2021-12-05 21:18:40.0000000"
187273,"2012-11-18 18:49:15.0000000",1727,5611,"2021-12-05 21:18:40.0000000"
187274,"2012-11-29 04:17:05.0000000",1727,5611,"2021-12-05 21:18:40.0000000"
187275,"2012-12-01 07:43:52.0000000",1727,5611,"2021-12-05 21:18:40.0000000"
187276,"2012-12-08 04:17:56.0000000",1727,5611,"2021-12-05 21:18:40.0000000"
187277,"2012-12-22 03:19:51.0000000",1727,5611,"2021-12-05 21:18:40.0000000"
187278,"2013-01-03 19:10:53.0000000",1727,5618,"2021-12-05 21:18:40.0000000"
187279,"2013-01-05 05:35:13.0000000",1727,5618,"2021-12-05 21:18:40.0000000"
187280,"2013-01-16 09:23:42.0000000",1727,5611,"2021-12-05 21:18:40.0000000"
187281,"2013-01-21 01:43:35.0000000",1727,5611,"2021-12-05 21:18:40.0000000"
187282,"2013-01-27 16:38:36.0000000",1727,5611,"2021-12-05 21:18:40.0000000"
187283,"2019-07-19 19:53:35.0000000",1749,5611,"2021-12-05 21:18:40.0000000"
187284,"2019-07-31 08:45:56.0000000",1749,5618,"2021-12-05 21:18:40.0000000"
187285,"2019-08-16 07:48:12.0000000",1749,5611,"2021-12-05 21:18:40.0000000"
187286,"2019-08-23 06:17:53.0000000",1749,5611,"2021-12-05 21:18:40.0000000"
187287,"2019-09-01 19:26:10.0000000",1749,5611,"2021-12-05 21:18:40.0000000"
187288,"2019-09-17 19:19:17.0000000",1749,5611,"2021-12-05 21:18:40.0000000"
187289,"2019-09-19 09:20:13.0000000",1749,5618,"2021-12-05 21:18:40.0000000"
187290,"2019-09-21 03:36:55.0000000",1749,5618,"2021-12-05 21:18:40.0000000"
187291,"2019-09-28 01:46:33.0000000",1749,5611,"2021-12-05 21:18:40.0000000"
187292,"2019-10-09 22:21:34.0000000",1749,5611,"2021-12-05 21:18:40.0000000"
187293,"2017-12-08 10:08:39.0000000",1709,5611,"2021-12-05 21:18:40.0000000"
187294,"2017-12-12 13:23:51.0000000",1709,5618,"2021-12-05 21:18:40.0000000"
187295,"2017-12-18 17:59:12.0000000",1709,5618,"2021-12-05 21:18:40.0000000"
187296,"2017-12-26 03:31:12.0000000",1709,5618,"2021-12-05 21:18:40.0000000"
187297,"2017-12-30 13:53:20.0000000",1709,5618,"2021-12-05 21:18:40.0000000"
187298,"2018-01-15 07:27:18.0000000",1709,5611,"2021-12-05 21:18:40.0000000"
187299,"2018-01-23 06:55:50.0000000",1709,5611,"2021-12-05 21:18:40.0000000"
187300,"2018-01-24 19:28:00.0000000",1709,5618,"2021-12-05 21:18:40.0000000"
187301,"2015-01-24 06:21:10.0000000",1696,5618,"2021-12-05 21:18:40.0000000"
187302,"2015-02-06 00:27:25.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187303,"2015-02-09 16:11:56.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187304,"2015-02-11 19:58:03.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187305,"2015-02-16 10:58:46.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187306,"2015-02-18 01:54:13.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187307,"2015-02-26 01:23:44.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187308,"2015-03-04 20:08:24.0000000",1696,5618,"2021-12-05 21:18:40.0000000"
187309,"2015-03-12 09:15:25.0000000",1696,5618,"2021-12-05 21:18:40.0000000"
187310,"2015-03-13 09:57:52.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187311,"2015-03-17 16:49:57.0000000",1696,5618,"2021-12-05 21:18:40.0000000"
187312,"2015-03-21 22:51:14.0000000",1696,5618,"2021-12-05 21:18:40.0000000"
187313,"2015-03-23 23:45:05.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187314,"2015-03-29 10:41:53.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187315,"2015-04-05 11:55:10.0000000",1696,5618,"2021-12-05 21:18:40.0000000"
187316,"2015-04-14 03:29:35.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187317,"2015-04-22 01:24:16.0000000",1696,5611,"2021-12-05 21:18:40.0000000"
187318,"2015-05-03 08:59:22.0000000",1696,5618,"2021-12-05 21:18:40.0000000"
187319,"2015-05-11 22:37:21.0000000",1696,5618,"2021-12-05 21:18:40.0000000"
